# name,mass,star_name,ra,dec
HD 159868 b,"2,1",HD 159868,"264,75","-43,1455556"
HD 159868 c,"0,73",HD 159868,"264,75","-43,1455556"
OGLE-2011-BLG-0251L b,"0,96",OGLE-2011-BLG-0251L,"264,559083338","-27,1361388938"
HAT-P-55 b,"0,582",HAT-P-55,"264,273000002","25,7311944704"
GJ 682 b,"0,0138438788031",GJ 682,"264,265260085","-43,6807861861"
GJ 682 c,"0,027365121",GJ 682,"264,265260085","-43,6807861861"
GJ 687 b,"0,058",GJ 687,"264,108333342","68,339166678"
OGLE-2012-BLG-0026L b,"0,11",OGLE-2012-BLG-0026L,"263,5792","-27,1428"
OGLE-2012-BLG-0026L c,"0,68",OGLE-2012-BLG-0026L,"263,5792","-27,1428"
HD 159243 b,"1,13",HD 159243,"263,341666674","5,700833348"
HD 159243 c,"1,9",HD 159243,"263,341666674","5,700833348"
GJ 676 A b,"6,7",GJ 676 A,"262,5458333","-51,6369444"
GJ 676 A c,"6,8",GJ 676 A,"262,5458333","-51,6369444"
GJ 676 A d,"0,014",GJ 676 A,"262,5458333","-51,6369444"
GJ 676 A e,"0,036",GJ 676 A,"262,5458333","-51,6369444"
GJ 674 b,"0,04",GJ 674,"262,1666667","-46,8952778"
HD 158038 b,"1,8",HD 158038,"261,4375","27,3033333"
HD 157172 b,"0,12",HD 157172,"260,6458333","-19,6161111"
HAT-P-14 b,"2,2",HAT-P-14,"260,1166667","38,2422222"
WASP-76 b,"0,92",WASP-76,"26,6333","2,7006"
HD 10697 b,"6,83",HD 10697,"26,2291667","20,0830556"
tau Cet e,"0,0124",tau Cet,"26,0167","-15,9375"
tau Cet f,"0,0124",tau Cet,"26,0167","-15,9375"
tau Cet g,"0,00551",tau Cet,"26,0167","-15,9375"
tau Cet h,"0,00576",tau Cet,"26,0167","-15,9375"
HD 156411 b,"0,74",HD 156411,"259,9625","-48,5494444"
PSR 1719-14 b,1,PSR 1719-14,"259,7916667","-14,6336111"
GJ 667 C b,"0,0176",GJ 667 C,"259,7375","-34,9897222"
GJ 667 C c,"0,012",GJ 667 C,"259,7375","-34,9897222"
GJ 667 C d,"0,01604",GJ 667 C,"259,7375","-34,9897222"
GJ 667 C e,"0,0085",GJ 667 C,"259,7375","-34,9897222"
GJ 667 C f,"0,0085",GJ 667 C,"259,7375","-34,9897222"
GJ 667 C g,"0,0145",GJ 667 C,"259,7375","-34,9897222"
HD 156668 b,"0,0131",HD 156668,"259,4166667","29,2272222"
GJ 3998 b,"0,00777",GJ 3998,"259,004166667","11,058333341"
GJ 3998 c,"0,0197",GJ 3998,"259,004166667","11,058333341"
GJ 1214 b,"0,0203253311519",GJ 1214,"258,8291667","4,9638889"
HD 156279 b,"9,71",HD 156279,"258,0958333","63,3522222"
HD 154857 b,"2,24",HD 154857,"257,8125","-56,6805556"
HD 154857 c,"2,58",HD 154857,"257,8125","-56,6805556"
WISE 1711+3500 b,18,WISE 1711+3500,"257,770833335","35,010277786"
HD 155233 b,"2,6",HD 155233,"257,766666668","-20,654444461"
HD 154672 b,"5,02",HD 154672,"257,5208333","-56,4491667"
HD 155358 b,"0,85",HD 155358,"257,3958333","33,3558333"
HD 155358 c,"0,82",HD 155358,"257,3958333","33,3558333"
V2051 Oph b,"7,3",V2051 Oph,"257,079500006","-25,8088055786"
HAT-P-67 b,"0,34",HAT-P-67,"256,612500009","44,776944468"
HAT-P-18 b,"0,183",HAT-P-18,"256,35","33,0125"
HD 153950 b,"2,73",HD 153950,"256,1291667","-43,3097222"
HD 154088 b,"0,0193",HD 154088,"256,1166667","-28,5827778"
HD 154345 b,"1,3",HD 154345,"255,65","47,0819444"
GJ 649 b,"0,328",GJ 649,"254,5375","25,7441667"
GJ 649 c,"0,03",GJ 649,"254,5375","25,7441667"
HD 152581 b,"1,5",HD 152581,"253,4333333","11,9736111"
HD 152079 b,3,HD 152079,"253,375","-46,3308333"
K2-32 b,"0,0519",EPIC 205071984,"252,426112514","-19,5428000182"
K2-32 c,"0,04",EPIC 205071984,"252,426112514","-19,5428000182"
K2-32 d,"0,0343",EPIC 205071984,"252,426112514","-19,5428000182"
HD 150433 b,"0,168",HD 150433,"250,2833333","-2,8572222"
BD+20 274 c,"4,2",BD+20 274,"25,9208333","21,005"
HD 10647 b,"0,93",HD 10647,"25,6208333","-53,7408333"
HD 10442 b,"2,1",HD 10442,"25,4714266844","2,70437918417"
WASP-103 b,"1,49",WASP-103,"249,316666672","7,183333337"
HD 149143 b,"1,33",HD 149143,"248,2125","2,0847222"
HD 150706 b,"2,71",HD 150706,"247,8208333","79,7897222"
ROXs 42B b,9,ROXs 42B,"247,8125","-24,5456"
HD 149026 b,"0,357",HD 149026,"247,6208333","38,3472222"
Wolf 1061 b,"0,00601",Wolf 1061,"247,575241798","-12,6625898008"
Wolf 1061 c,"0,0107",Wolf 1061,"247,575241798","-12,6625898008"
Wolf 1061 d,"0,0242",Wolf 1061,"247,575241798","-12,6625898008"
HD 148427 b,"0,96",HD 148427,"247,1166667","-13,3997222"
HD 148156 b,"0,85",HD 148156,"247,0708333","-46,3175"
SR 12 AB c,13,SR 12 (AB),"246,8333333","-24,6944444"
WASP-92 b,"0,805",WASP-92,"246,692000015","51,0411666736"
ROXs 12 b,16,ROXs 12,"246,604166675","-24,543333319"
HD 147873 b,"5,14",HD 147873,"246,437500015","-33,453611123"
HD 147873 c,"2,3",HD 147873,"246,437500015","-33,453611123"
GJ 625 b,"0,0095",GJ 625,"246,354166675","54,303333342"
HD 147513 b,"1,21",HD 147513,"246,0041667","-39,1927778"
PSR B1620-26 b,"2,5",PSR B1620-26,"245,9083333","-26,5313889"
HD 147018 b,"2,12",HD 147018,"245,75","-61,6888889"
HD 147018 c,"6,56",HD 147018,"245,75","-61,6888889"
11 Oph b,21,11 Oph,"245,6041667","-24,0872222"
GSC 6214-210 b,17,GSC 6214-210,"245,4791667","-20,7186111"
K2-31 b,"1,774",K2-31 ,"245,440837515","-23,547866689"
HAT-P-2 b,"8,74",HAT-P-2,"245,15","41,0480556"
WASP-38 b,"2,712",WASP-38,"243,9583333","10,0325"
HD 145934 b,"2,28",HD 145934,"243,29166667","13,239444454"
USco1612-1800 b,26,USco1612-1800,"243,2042","-18,01375"
HIP 79431 b,"2,1",HIP 79431,"243,175","-18,8755556"
HD 145377 b,"5,76",HD 145377,"242,9","-27,0780556"
AS 205 A b,"19,25",AS 205A,"242,879166677","-18,640277796"
USco1610-1913 b,20,USco1610-1913,"242,6333","-19,219055"
14 Her b,"4,64",14 Her,"242,5958333","43,8216667"
K2-24 b,"0,0661",KE-24 ,"242,575000006","-24,990277803"
K2-24 c,"0,085",KE-24 ,"242,575000006","-24,990277803"
K2-33 b,"3,6",EPIC 205117205,"242,562500005","-19,319166675"
HD 142022 A b,29,HD 142022 A,"242,5625","-84,2313889"
HD 145457 b,"2,9",HD 145457,"242,5166667","26,7427778"
1RXS 1609 b,14,1RXS1609,"242,375","-21,0827778"
GJ 3942 b,"0,0225",GJ 3942,"242,262500001","52,943888916"
UScoCTIO 108 b,14,UScoCTIO 108,"241,475","-18,3119444"
USco1602-2401 b,47,USco1602-2401,"240,7125","-24,030666"
XO-1 b,"0,9",XO-1,"240,55","28,1697222"
HIP 78530 b,"23,04",HIP 78530,"240,4791667","-21,9802778"
HD 143361 b,"3,12",HD 143361,"240,4583333","-44,4344444"
HD 143761 b,"1,045",HD 143761,"240,262500001","33,30361112"
HD 143761 c,"0,079",HD 143761,"240,262500001","33,30361112"
BD+15 2940 b,"1,11",BD+15 2940,"240,0958","15,5469"
WASP-97 b,"1,32",WASP-97,"24,6042","-55,7719"
HD 10180 c,"0,041217",HD 10180,"24,475","-60,5116667"
HD 10180 d,"0,03696945",HD 10180,"24,475","-60,5116667"
HD 10180 e,"0,07897304",HD 10180,"24,475","-60,5116667"
HD 10180 f,"0,07519743",HD 10180,"24,475","-60,5116667"
HD 10180 g,"0,06733159",HD 10180,"24,475","-60,5116667"
HD 10180 h,"0,202624",HD 10180,"24,475","-60,5116667"
WASP-18 b,"10,43",WASP-18,"24,3541667","-45,6777778"
SIMP0136+0933,"12,7",SIMP0136+0933 ,"24,2359166855","9,5631389104"
ups And b,"0,62",ups And,"24,2","41,4105556"
ups And c,"9,1",ups And,"24,2","41,4105556"
ups And d,"23,58",ups And,"24,2","41,4105556"
ups And e,"1,059",ups And,"24,2","41,4105556"
WASP-105 b,"1,8",WASP-105,"24,16666668","-50,658888909"
WASP-17 b,"0,486",WASP-17,"239,9625","-28,0616667"
HD 142415 b,"1,62",HD 142415,"239,4166667","-60,2"
eps CrB b,"6,7",eps CrB,"239,3958","26,8778"
HIP 77900 b,20,HIP 77900,"238,625","-27,3386"
HD 143105 b,"1,21",HD 143105,"238,404166679","68,720000017"
HD 142245 b,"1,9",HD 142245,"238,2333333","15,4308333"
NN Ser (AB) c,"6,91",NN Ser (AB),"238,2333333","12,9130556"
NN Ser (AB) d,"2,28",NN Ser (AB),"238,2333333","12,9130556"
HD 141937 b,"9,7",HD 141937,"238,0708333","-18,4358333"
kappa CrB b,"1,6",kappa CrB,"237,8083333","35,6575"
ome Ser b,"1,7",ome Ser,"237,575","2,1964"
HD 330075 b,"0,62",HD 330075,"237,4041667","-49,9633333"
GQ Lup b,"21,5",GQ Lup,"237,3","-35,6508333"
HD 141399 b,"0,451",HD 141399,"236,725000018","46,986388911"
HD 141399 c,"1,33",HD 141399,"236,725000018","46,986388911"
HD 141399 d,"1,18",HD 141399,"236,725000018","46,986388911"
HD 141399 e,"0,66",HD 141399,"236,725000018","46,986388911"
NLTT 41135,"33,7",NLTT 41135,"236,516666668","4,691666687"
HD 137388 b,"0,223",HD 137388,"233,9166667","-80,2047222"
HD 139357 b,"9,76",HD 139357,"233,8166667","53,9222222"
omi CrB b,"1,5",omi  CrB,"233,675","26,7147"
WASP-109 b,"0,91",WASP-109,"232,054166671","-16,41083335"
HIP 75458 b,"9,39",HIP 75458,"231,2291667","58,9658333"
HD 136352 b,"0,0166",HD 136352,"230,45","-48,3175"
HD 136352 c,"0,0358",HD 136352,"230,45","-48,3175"
HD 136352 d,"0,03",HD 136352,"230,45","-48,3175"
HD 9446 b,"0,7",HD 9446,"23,3333333","29,2652778"
HD 9446 c,"1,82",HD 9446,"23,3333333","29,2652778"
HD 9578 b,"0,62",HD 9578,"23,3208333","-38,245"
HAT-P-4 b,"0,68",HAT-P-4,"229,9916667","36,2297222"
GJ 581 b,"0,05",GJ 581,"229,8583333","-7,7222222"
GJ 581 c,"0,017",GJ 581,"229,8583333","-7,7222222"
GJ 581 e,"0,0061",GJ 581,"229,8583333","-7,7222222"
HD 136418 b,2,HD 136418,"229,7791667","41,7333333"
HIP 74890 b,"2,4",HIP 74890,"229,570833339","-41,420555567"
HIP 74865 b,28,HIP 74865,"229,483333352","-30,478055574"
beta Cir b,56,beta Cir,"229,379166677","-58,801111128"
11 UMi b,"10,5",11 UMi,"229,275","71,8238889"
HD 134606 b,"0,0292",HD 134606,"228,8125","-70,5197222"
HD 134606 c,"0,0382",HD 134606,"228,8125","-70,5197222"
HD 134606 d,"0,121",HD 134606,"228,8125","-70,5197222"
HD 134987 b,"1,59",HD 134987,"228,3666667","-25,3091667"
HD 134987 c,"0,82",HD 134987,"228,3666667","-25,3091667"
HD 134060 b,"0,0351",HD 134060,"227,6875","-61,4222222"
HD 134060 c,"0,1507",HD 134060,"227,6875","-61,4222222"
WASP-24 b,"1,071",WASP-24,"227,2166667","2,3433333"
HD 134113 b,47,HD 134113,"226,945833349","8,87972225"
HIP 73990 b,21,HIP 73990,"226,812500005","-29,504444458"
HIP 73990 c,22,HIP 73990,"226,812500005","-29,504444458"
HD 133131 A b,"1,43",HD 133131 A,"225,899193804","-27,8409866895"
HD 133131 A c,"0,48",HD 133131 A,"225,899193804","-27,8409866895"
HD 133131 B b,"2,5",HD 133131 B,"225,899193804","-27,8409866895"
WASP-113 b,"0,475",WASP-113,"224,870833343","46,960000027"
CFBDS 1458 ,"25,2",CFBDS 1458,"224,6208333","10,2286111"
CFBDS 1458 b,"10,5",CFBDS 1458,"224,6208333","10,2286111"
HD 132563 B b,"1,49",HD 132563B,"224,5875","44,0433333"
GJ 570 D,"42,5",GJ 570 ABC,"224,366666676","-21,415277798"
HD 132406 b,"5,61",HD 132406,"224,2291667","53,3822222"
8 Umi b,"1,5",8 Umi,"224,200000016","74,900833352"
WASP-57 b,"0,8",WASP-57,"223,820083339","-2,05765000712"
HD 131496 b,"2,2",HD 131496,"223,3458333","18,2352778"
HAT-P-27-WASP-40 b,"0,66",HAT-P-27-WASP-40,"222,7666667","5,9472222"
beta Umi b,"6,1",beta Umi,"222,675000014","74,155555563"
WASP-37 b,"1,8",WASP-37,"221,9458333","1,065"
HD 130322 b,"1,05",HD 130322,"221,8875","0,2813889"
HD 129445 b,"1,6",HD 129445,"221,5125","-68,7625"
HD 9174 b,"1,11",HD 9174,"22,504166667","-19,60444446"
alf Cen B b,"0,0036",alpha Cen B,"219,8958","-60,8375"
HD 128356 b,"0,89",HD 128356,"219,270833335","-25,802500018"
HD 128311 b,"2,18",HD 128311,219,"9,7463889"
HD 128311 c,"4,19",HD 128311,219,"9,7463889"
J1433 b,"57,1",J1433,"218,325000006","10,189722231"
WASP-14 b,"7,341",WASP-14,"218,275","21,8947222"
WASP-132 b,"0,41",WASP-132,"217,608333342","-46,159166677"
Proxima Cen b,"0,004",Proxima Centauri,"217,429166681","-62,679444468"
HIP 70849 b,9,HIP 70849,"217,3291667","-46,4638889"
WASP-39 b,"0,28",WASP-39,"217,325","-3,4444444"
HD 126525 b,"0,224",HD 126525,"216,8875","-51,9330556"
HD 126614 b,"0,38",HD 126614,"216,7","-5,1777778"
KELT-18 b,"1,18",KELT-18,"216,525000002","59,444166684"
HD 125595 b,"0,042",HD 125595,"215,3458333","-40,3938889"
HD 125612 b,3,HD 125612,"215,225","-17,4813889"
HD 125612 c,"0,058",HD 125612,"215,225","-17,4813889"
HD 125612 d,"7,2",HD 125612,"215,225","-17,4813889"
WASP-16 b,"0,855",WASP-16,"214,6833333","-20,2755556"
HAT-P-26 b,"0,0585218513042",HAT-P-26,"213,156404179","4,06003612014"
HAT-P-44 b,"0,392",HAT-P-44,"213,1458","47,0147"
HAT-P-44 c,"1,6",HAT-P-44,"213,1458","47,0147"
1SWASP J1407 b,20,1SWASP J1407,"211,950000016","-39,761944469"
HD 122562 b,24,HD 122562,"210,587500007","20,881388918"
HIP 68468 b,"0,011",HIP 68468,"210,266666668","-32,756944465"
HIP 68468 c,"0,094",HIP 68468,"210,266666668","-32,756944465"
GJ 536 b,"0,0169",GJ 536,"210,262500001","-2,655000017"
WASP-131 b,"0,27",WASP-131,"210,191666682","-30,583611123"
HAT-P-53 b,"1,487",HAT-P-53,"21,870833343","38,968055576"
HD 8673 b,"14,2",HD 8673,"21,5333333","34,5794444"
HD 8574 b,"2,11",HD 8574,"21,3","28,5666667"
HAT-P-51 b,"0,309",HAT-P-51,"21,066666672","32,810833358"
HAT-P-12 b,"0,210489884529",HAT-P-12,"209,3916667","43,4936111"
HD 121504 b,"1,22",HD 121504,"209,3208333","-56,04"
WASP-15 b,"0,542",WASP-15,"208,9291667","-32,1597222"
HATS-7 b,"0,12",HATS-7,"208,857000009","-21,2076944546"
K2-99 b,"0,97",EPIC 212803289,"208,773750002","-5,44246668264"
HIP 67851 b,"1,38",HIP 67851,"208,466666684","-35,314444462"
HIP 67851 c,"5,98",HIP 67851,"208,466666684","-35,314444462"
HATS-25 b,"0,613",HATS-25,"207,907500013","-23,7811666936"
Qatar-2 b,"2,487",Qatar-2,"207,6541667","-6,8038889"
HIP 67537 b,"11,1",HIP 67537,"207,579166673","-39,900833352"
K2-110 b,"0,0525",K2-110,"207,349541675","-12,2844888955"
tau Boo b,"5,84",tau Boo,"206,8208333","17,4561111"
HAT-P-3 b,"0,591",HAT-P-3,"206,0958333","48,0286111"
HD 120084 b,"4,5",HD 120084,"205,7167","78,0617"
HD 119445 b,"37,6",HD 119445,"205,620027843","41,6742842694"
WASP-54 b,"0,6",WASP-54,"205,45428335","-0,12805834478"
NY Vir b,"2,78",NY Vir,"204,7","-2,0302778"
NY Vir c,"4,49",NY Vir,"204,7","-2,0302778"
WASP-55 b,"0,57",WASP-55,"203,758333334","-17,5036111"
OGLE-GD-ECL-11388 b,"12,5",OGLE-GD-ECL-11388,"203,70833335","-64,142222232"
POTS-1 b,"2,31",POTS-1,"203,6083","-66,5811"
HD 118203 b,"2,14",HD 118203,"203,5083333","53,7283333"
HD 117618 b,"0,178",HD 117618,"203,1041667","-47,2711111"
HD 117618 c,"0,2",HD 117618,"203,1041667","-47,2711111"
WASP-130 b,"1,23",WASP-130,"203,104166675","-42,475277794"
HIP 65891 b,6,HIP 65891,"202,604166675","-58,664444469"
HD 117207 b,"2,06",HD 117207,"202,3375","-35,5708333"
70 Vir b,"6,6",70 Vir,"202,1083333","13,7866667"
WASP-157 b,"0,576",WASP-157,"201,654166679","-8,317500007"
HIP 65426,9,HIP 65426,"201,150000012","-51,504444458"
HIP 65407 b,"0,428",HIP 65407,"201,087500007","48,885000019"
HIP 65407 c,"0,784",HIP 65407,"201,087500007","48,885000019"
HD 116029 b,"2,1",HD 116029,"200,1666667","24,6486111"
HD 8535 b,"0,68",HD 8535,"20,9041667","-41,2697222"
2M 0122-24 b,20,2M 0122-24,"20,7125","-24,6142"
HD 7924 b,"0,0273",HD 7924,"20,4958333","76,7102778"
HD 7924 c,"0,0247",HD 7924,"20,4958333","76,7102778"
HD 7924 d,"0,0203",HD 7924,"20,4958333","76,7102778"
HD 564 b,"0,33",HD 564,"2,470833351","-50,267777784"
61 Vir b,"0,016",61 Vir,"199,6","-18,3111111"
61 Vir c,"0,0573",61 Vir,"199,6","-18,3111111"
61 Vir d,"0,072",61 Vir,"199,6","-18,3111111"
GJ 504 b,4,GJ 504,"199,1958","9,4242"
V396 Hya b,"18,3",V396 Hya,"198,193629182","-23,3588555696"
HD 114729 b,"0,84",HD 114729,"198,1833333","-31,8733333"
HD 114783 b,"6,3",HD 114783,"198,1791667","-2,265"
HATS-20 b,"0,273",HATS-20,"198,133333344","-45,590555573"
HD 114762 b,"10,98",HD 114762,"198,0791667","17,5169444"
HD 114613 b,"0,48",HD 114613,"198,012500001","-36,196944426"
HD 114386 b,"1,24",HD 114386,"197,6625","-35,0547222"
HD 114386 c,"1,19",HD 114386,"197,6625","-35,0547222"
GP Com b,"26,2",GP Com,"196,426791681","18,017777779"
HD 113538 b,"0,36",HD 113538,"196,2375","-52,4430556"
HD 113538 c,"0,93",HD 113538,"196,2375","-52,4430556"
WASP-167 b,8,WASP-167,"196,043875004","-35,5495222458"
KELT-6 b,"0,442",KELT-6,"195,9833","30,64"
KELT-6 c,"3,71",KELT-6,"195,9833","30,64"
WASP-108 b,"1,167",WASP-108,"195,829166673","-49,63972224"
HD 113337 b,"2,83",HD 113337,"195,4458","63,6103"
WASP-25 b,"0,58",WASP-25,"195,3583333","-27,5222222"
Ross 458 (AB) c,"11,3",Ross 458 (AB),"195,1958333","12,3758333"
PSR 1257 12 b,7E-05,PSR 1257 12,"195,0166667","12,6822222"
PSR 1257 12 c,"0,013",PSR 1257 12,"195,0166667","12,6822222"
PSR 1257 12 d,"0,012",PSR 1257 12,"195,0166667","12,6822222"
HIP 63242 b,"9,18",HIP 63242,"194,3833","-65,6464"
VHS 1256-1257 b,"11,2",VHS 1256-1257 ,"194,008333334","-12,956666691"
HATS-27 b,"0,53",HATS-27,"193,552500004","-46,5877222374"
38 Vir b,"4,51",38 Vir,"193,296489462","-3,55309929126"
WASP-42 b,"0,5",WASP-42,"192,981545852","-42,0736083402"
HD 111232 b,"6,8",HD 111232,"192,2125","-68,425"
HATS-17 b,"1,338",HATS-17,"192,191666682","-47,613611134"
HATS-31 b,"0,88",HATS-31,"191,704166683","-24,427500017"
HW Vir (AB) b,"14,3",HW Vir (AB),"191,0833333","-8,6713889"
WASP-41 b,"0,94",WASP-41,"190,618737509","-30,6398750179"
WASP-41 c,"3,18",WASP-41,"190,618737509","-30,6398750179"
WASP-83 b,"0,3",WASP-83,"190,154166679","-19,284166673"
WASP-118 b,"0,514",WASP-118,"19,550000004","2,702777794"
EPIC 220504338,"1,28",EPIC 220504338,"19,450000016","6,702222238"
HD 110014 b,"10,7",HD 110014,"189,8083333","-7,9955556"
HD 110014 c,"3,1",HD 110014,"189,8083333","-7,9955556"
HD 109749 b,"0,28",HD 109749,"189,3166667","-40,8119444"
HD 109271 b,"0,054",HD 109271,"188,4","-11,6219"
HD 109271 c,"0,076",HD 109271,"188,4","-11,6219"
WASP-107 b,"0,12",WASP-107,"188,387500011","-10,146111124"
HAT-P-36 b,"1,832",HAT-P-36,"188,2625","44,9152778"
EPIC 228735255 b,"1,019",EPIC 228735255,"188,137333344","-9,607638907"
HD 109246 b,"0,77",HD 109246,"188,0291667","74,4894444"
HD 108874 b,"1,36",HD 108874,"187,6083333","22,8797222"
HD 108874 c,"1,018",HD 108874,"187,6083333","22,8797222"
HD 108863 b,"2,6",HD 108863,"187,5833333","21,9483333"
HD 108341 b,"3,5",HD 108341,"186,879166677","-71,423055569"
