# name,mass,star_name,ra,dec
 EPIC 22881391 b,"0,7",EPIC 228813918,"186,87072501","-6,19522501318"
HD 108147 b,"0,261",HD 108147,"186,4416667","-64,0219444"
NGC 4349 No 127 b,"19,8",NGC 4349 No 127,"186,0333333","-61,8716667"
WASP-87 A b,"2,21",WASP-87 A,"185,325000006","-52,840833356"
11 Com b,"19,4",11 Com,"185,1791667","17,7927778"
HD 107148 b,"0,21",HD 107148,"184,8041667","-3,3197222"
WISE 1217+16 A b,22,WISE 1217+16 A,"184,487500019","16,444444462"
HD 106906 b,11,HD 106906,"184,470833351","-54,024444418"
HD 106515 A b,"9,61",HD 106515 A,"183,7791667","-7,2572222"
HD 106315 b,"0,0396",HD 106315,"183,470833351","-0,393611127"
HD 106315 c,"0,0478",HD 106315,"183,470833351","-0,393611127"
HD 106270 b,11,HD 106270,"183,4041667","-9,5133333"
HD 106252 b,"32,9",HD 106252,"183,3708333","10,0413889"
WASP-56 b,"0,6",WASP-56,"183,366275009","23,0556388944"
EPIC 228754001 b,"0,495",EPIC 228754001,"182,16641668","-8,74717502574"
2M 1207-39,24,2M 1207-39,"181,8875","-39,5483333"
2M 1207-39 b,4,2M 1207-39,"181,8875","-39,5483333"
HD 104985 b,"8,3",HD 104985,"181,3125","76,9055556"
HD 7449 b,"1,11",HD 7449,"18,6208333","-5,0475"
HD 7449 c,2,HD 7449,"18,6208333","-5,0475"
GU Psc b,11,GU Psc,"18,145833345","17,065555569"
YZ Cet b,"0,0024",YZ Cet,"18,1270833435","-16,998888921"
YZ Cet c,"0,0031",YZ Cet,"18,1270833435","-16,998888921"
YZ Cet d,"0,00359",YZ Cet,"18,1270833435","-16,998888921"
HD 104067 b,"0,186",HD 104067,"179,7916667","-20,3538889"
HD 103774 b,"0,367",HD 103774,"179,2333","-12,1078"
HD 103720 b,"0,62",HD 103720,"179,170833347","-2,778888914"
HD 103197 b,"0,098",HD 103197,"178,2208333","-50,2927778"
HD 102956 b,"0,96",HD 102956,"177,8458333","57,6408333"
BD+03 2562 b,"6,4",BD+03 2562,"177,564802922","2,76013113422"
WD 1145+017 b,"2,10E-06",WD 1145+017,"177,137500011","1,483055578"
HATS-2 b,"1,345",HATS-2,"176,739094","-22,562992"
HD 102329 b,"5,9",HD 102329,"176,6958333","3,4741667"
HD 102365 b,"0,05",HD 102365,"176,6291667","-40,5002778"
HD 102272 b,"5,9",HD 102272,"176,6","14,1238889"
HD 102272 c,"2,6",HD 102272,"176,6","14,1238889"
BD+15 2375 b,"1,06",BD+15 2375,"176,483333352","14,616388914"
HD 102195 b,"0,45",HD 102195,"176,425","2,8213889"
WASP-129 b,1,WASP-129,"176,300000004","-42,063888901"
HD 102117 b,"0,172",HD 102117,"176,2083333","-58,7036111"
HIP 57274 b,"0,036",HIP 57274,"176,1708333","30,9591667"
HIP 57274 c,"0,41",HIP 57274,"176,1708333","30,9591667"
HIP 57274 d,"0,527",HIP 57274,"176,1708333","30,9591667"
WASP-85 b,"1,265",WASP-85,"175,908333346","6,563611133"
HD 101930 b,"0,3",HD 101930,"175,875","-58,0066667"
GJ 436 b,"0,07",GJ 436,"175,5458333","26,7063889"
HATS-1 b,"1,855",HATS-1,"175,525","-23,3547222"
HIP 57050 b,"0,298",HIP 57050,"175,4375","42,7519444"
K2-19 b,"0,187",K2-19,"174,96033335","0,6035833482"
K2-19 c,"0,031",K2-19,"174,96033335","0,6035833482"
EPIC 201295312 b,"0,0379",EPIC 201295312,"174,012500001","-2,520833347"
HATS-22 b,"2,74",HATS-22,"174,008333334","-29,600555568"
HD 100777 b,"1,16",HD 100777,"173,9666667","-4,7558333"
HATS-18 b,"1,98",HATS-18,"173,95833335","-29,156111119"
GJ 433 b,"0,01667",GJ 433,"173,8625","-32,54"
GJ 433 c,"0,14",GJ 433,"173,8625","-32,54"
HD 100655 b,"1,7",HD 100655,"173,7666667","20,4416667"
TWA 5 A (AB) b,25,TWA 5 A (AB),"172,9791667","-34,6075"
K2-18 b,"0,025",K2-18,"172,560461","7,588391"
K2-18 c,"0,0236",K2-18,"172,560461","7,588391"
K2-3  b,"0,026",K2-3,"172,33333334","-1,454722235"
K2-3 c,"0,0066",K2-3,"172,33333334","-1,454722235"
K2-3 d,"0,0349",K2-3,"172,33333334","-1,454722235"
HD 99706 b,"1,4",HD 99706,"172,125","43,9666667"
K2-10 b,"0,085",K2-10,"172,120833343","1,690555575"
HD 99492 b,"0,079",HD 99492,"171,6916667","3,0061111"
K2-27 b,"0,0972",K2-27,"171,516666668","0,330833349"
HAT-P-21 b,"4,063",HAT-P-21,"171,275","41,0280556"
HD 99109 b,"0,502",HD 99109,"171,0708333","-1,5288889"
HD 98649 b,"6,8",HD 98649,"170,2166667","-23,2172222"
HD 7199 b,"0,29",HD 7199,"17,6958333","-66,1880556"
eta Cet b,"2,55",eta Cet,"17,145833345","-10,182222238"
eta Cet c,"3,32",eta Cet,"17,145833345","-10,182222238"
2MASS J11193254 AB,"3,7",2MASS J11193254 AB,"169,885595844","-11,6296389116"
EPIC 201637175 b,"1,4",EPIC 201637175 ,"169,483333352","2,618611125"
HD 98219 b,"1,8",HD 98219,"169,45","-23,9752778"
WASP-31 b,"0,478",WASP-31,"169,4375","-19,0547222"
DP Leo b,"6,05",DP Leo,"169,3166667","17,9613889"
GJ 422 b,"0,0311487273071",GJ 422,"169,000856292","-56,4523336445"
HD 97658 b,"0,0237548374917",HD 97658,"168,6375","25,7102778"
SDSS J1110+0116,11,SDSS J1110+0116,"167,54166667","1,270277786"
OGLE-TR-182 b,"1,06",OGLE-TR-182,"167,3291667","-61,0952778"
OGLE2-TR-L9 b,"4,34",OGLE2-TR-L9,"166,9791667","-61,1461111"
HD 96700 b,"0,0284",HD 96700,"166,975","-30,1744444"
HD 96700 c,"0,04",HD 96700,"166,975","-30,1744444"
CHXR 73 b,12,CHXR 73,"166,6208333","-77,6258333"
HD 96127 b,4,HD 96127,"166,4416667","44,3016667"
WASP-106 b,"1,925",WASP-106,"166,429708348","-5,0794166782"
HD 96167 b,"0,68",HD 96167,"166,3125","-10,2913889"
HD 96063 b,"0,9",HD 96063,"166,1833333","-2,5133333"
CT Cha b,17,CT Cha,"166,0375","-76,4552778"
HD 95872 b,"4,6",HD 95872,"165,866666676","-22,093888899"
Lalande 21185 b,"0,012",Lalande 21185,"165,83333334","35,970000022"
WASP-34 b,"0,59",WASP-34,"165,4","-23,8605556"
HD 95127 b,"5,01",HD 95127,"164,895833345","43,814444472"
47 Uma b,"2,53",47 Uma,"164,8708333","40,4294444"
47 Uma c,"0,54",47 Uma,"164,8708333","40,4294444"
47 Uma d,"1,64",47 Uma,"164,8708333","40,4294444"
HD 95089 b,"1,2",HD 95089,"164,7","1,7291667"
GJ 3634 b,"0,026",GJ 3634,"164,6458333","-31,1441667"
BD-10 3166 b,"0,46",BD-10 3166,"164,6166667","-10,7702778"
HD 95086 b,"4,4",HD 95086,"164,2625","-68,6672"
OGLE-TR-111 b,"0,54",OGLE-TR-111,"163,325","-61,4055556"
OGLE-TR-113 b,"1,24",OGLE-TR-113,"163,1","-61,4466667"
OGLE-TR-132 b,"1,17",OGLE-TR-132,"162,6416667","-61,9569444"
KELT-11 b,"0,195",KELT-11,"161,70833335","-9,399166687"
HD 93385 b,"0,0263",HD 93385,"161,5625","-41,4644444"
HD 93385 c,"0,0318",HD 93385,"161,5625","-41,4644444"
HD 93083 b,"0,37",HD 93083,"161,0833333","-33,5769444"
HD 92788 b,"27,7",HD 92788,"160,7","-2,1836111"
HD 92788 c,"0,9",HD 92788,"160,7","-2,1836111"
WASP-104 b,"1,272",WASP-104,"160,602541675","7,4350833434"
WASP-127 b,"0,18",WASP-127,"160,558666671","-3,8350833514"
OGLE-TR-211 b,"0,75",OGLE-TR-211,"160,0625","-62,4555556"
HD 6718 b,"1,56",HD 6718,"16,9541667","-8,2336111"
HIP 5158 b,"1,44",HIP 5158,"16,5083333","-22,4530556"
HIP 5158 c,"15,04",HIP 5158,"16,5083333","-22,4530556"
HD 6434 b,"0,39",HD 6434,"16,1666667","-39,4880556"
DW Uma b,"10,06",DW Uma,"158,470833351","58,781944472"
WASP-66 b,"2,32",WASP-66,"158,225","-34,9897222"
KELT-4 A b,"0,884",KELT-4 A,"157,062545838","25,573194461"
HD 90156 b,"0,057",HD 90156,"155,9791667","-29,6455556"
24 Sex b,"1,99",24 Sex,"155,8666667","0,9022222"
24 Sex c,"0,86",24 Sex,"155,8666667","0,9022222"
HAT-P-22 b,"2,147",HAT-P-22,"155,6833333","50,1283333"
HD 89744 b,"8,9",HD 89744,"155,5416667","41,2294444"
HD 89744 c,"3,2",HD 89744,"155,5416667","41,2294444"
gamma 1 Leo b,"63,9",gamma 1 Leo,"154,9916667","19,8413889"
WASP-43 b,"2,052",WASP-43,"154,9083333","-9,8063889"
HD 89307 b,2,HD 89307,"154,5875","12,6208333"
TYC+1422-614-1 b,"2,51",TYC+1422-614-1,"154,279166669","19,558333351"
TYC+1422-614-1 c,"10,1",TYC+1422-614-1,"154,279166669","19,558333351"
BD+20 2457 b,"21,42",BD+20 2457,"154,1875","19,8913889"
BD+20 2457 c,"12,47",BD+20 2457,"154,1875","19,8913889"
GJ 1132 b,"0,0051",GJ 1132,"153,716666684","-47,156666675"
HD 88133 b,"0,3",HD 88133,"152,5291667","18,1866667"
HD 87883 b,"81,9",HD 87883,"152,1791667","34,2422222"
PSR J1807-2459 A b,"9,4",PSR J1807-2459 A,"151,83333334","-24,998055587"
HD 87646 A b,"12,4",HD 87646 A,"151,66987043","17,8951036382"
HD 87646 A c,57,HD 87646 A,"151,66987043","17,8951036382"
OY Car b,"8,48",OY Car,"151,591666674","-70,234722228"
HAT-P-66 b,"0,783",HAT-P-66,"150,573000006","53,9508611308"
HD 86950 b,"3,6",HD 86950,"150,408333346","-17,333055575"
BD-08 2823 b,"0,045",BD-08 2823,"150,2","-9,5166667"
BD-08 2823 c,"0,33",BD-08 2823,"150,2","-9,5166667"
2M 0103-55 (AB) b,13,2M 0103-55 (AB),"15,9","-55,2656"
HD 5891 b,"7,6",HD 5891,"15,1375","20,2925"
HD 86264 b,7,HD 86264,"149,2416667","-15,895"
HD 86226 b,"1,5",HD 86226,"149,125","-24,0994444"
HD 86081 b,"1,5",HD 86081,"149,025","-3,8083333"
KELT-3 b,"1,418",KELT-3,"148,6417","40,3881"
WASP-19 b,"1,114",WASP-19,"148,4166667","-45,6591667"
mu Leo b,"2,4",mu Leo,"148,191666682","26,00694445"
HD 85512 b,"0,011",HD 85512,"147,7791667","-43,5027778"
HD 85390 b,"0,132",HD 85390,"147,5083333","-49,7902778"
HD 85390 c,"0,2",HD 85390,"147,5083333","-49,7902778"
HATS-19 b,"0,427",HATS-19,"147,408333346","-33,218611117"
HATS-26 b,"0,65",HATS-26,"144,926833347","-28,5855833468"
HD 83443 b,"0,4",HD 83443,"144,2958333","-43,2719444"
HD 82886 b,"1,3",HD 82886,"143,9375","34,7808333"
HD 82943 b,14,HD 82943,"143,7083333","-12,1294444"
HD 82943 c,"14,4",HD 82943,"143,7083333","-12,1294444"
HD 82943 d,"0,29",HD 82943,"143,7083333","-12,1294444"
HD 81688 b,"1,77",HD 81688,"142,1666667","45,6013889"
HD 81040 b,"6,86",HD 81040,"140,9458333","20,3644444"
HD 80606 b,"3,94",HD 80606,"140,6541667","50,6036111"
WASP-142 b,"0,84",WASP-142,"140,508333334","-23,94611114"
WASP-13 b,"0,485",WASP-13,"140,1041667","33,8825"
HD 5608 b,"1,4",HD 5608,"14,5583","33,9508"
HD 5583 b,"5,78",HD 5583,"14,487500019","34,985555577"
HD 79498 b,"1,34",HD 79498,"138,7875","23,3755556"
HD 233604 b,"6,575",HD 233604,"137,4542","53,5681"
BD+26 1888 b,26,BD+26 1888,"135,629166677","25,889444467"
HAT-P-42 b,"0,975",HAT-P-42,"135,3458","6,0972"
HD 77338 b,"0,5",HD 77338,"135,3","-25,5269"
HD 77065 b,41,HD 77065,"135,195833349","21,453611123"
HATS-29 b,"0,653",HATS-29,"135,096000008","-54,89319447"
WISE 0855-0714,6,WISE 0855-0714,"133,795833337","-7,245277792"
GJ 328 b,"2,3",GJ 328,"133,7833","1,54901111"
HD 76700 b,"0,23",HD 76700,"133,4791667","-66,8008333"
HD 75898 b,"2,51",HD 75898,"133,4625","33,0569444"
WASP-65 b,"1,55",WASP-65,"133,325","8,523"
HR 3549 b,45,HR 3549,"133,266666668","-56,64944447"
55 Cnc b,"0,84",55 Cnc,"133,1541667","28,3338889"
55 Cnc c,"0,1784",55 Cnc,"133,1541667","28,3338889"
55 Cnc d,"3,86",55 Cnc,"133,1541667","28,3338889"
55 Cnc e,"0,02547",55 Cnc,"133,1541667","28,3338889"
55 Cnc f,"0,1479",55 Cnc,"133,1541667","28,3338889"
HD 75784 b,"1,15",HD 75784,"133,099755675","13,2334359492"
HD 75784 c,"5,6",HD 75784,"133,099755675","13,2334359492"
YBP401 b,"0,46",YBP401,"132,829166673","11,671111128"
YBP1194 b,"0,34",YBP1194,"132,754166667","11,81472225"
YBP1514 b,"0,4",YBP1514,"132,754166667","11,886666687"
SAND 364 b,"1,54",SAND364,"132,487500019","11,692500021"
HD 75289 b,"0,47",HD 75289,"131,9166667","-41,7366667"
WASP-36 b,"2,279",WASP-36,"131,579166673","-8,0269444"
WASP-84 b,"0,694",WASP-84,"131,1083","1,8433"
HD 74156 b,"1,778",HD 74156,"130,6041667","4,5780556"
HD 74156 c,"7,997",HD 74156,"130,6041667","4,5780556"
Pr 0211 b,"1,88",Pr 0211,"130,545833337","19,276944458"
Pr 0211 c,"7,95",Pr 0211,"130,545833337","19,276944458"
Pr 0201 b,"0,54",Pr 0201,"130,4333","20,2269"
GJ 317 b,"2,56",GJ 317,"130,2458333","-23,4563889"
GJ 317 c,2,GJ 317,"130,2458333","-23,4563889"
4 Uma b,"7,1",4 Uma,"130,0541667","64,3280556"
HD 5319 b,"1,94",HD 5319,"13,7541667","0,7894444"
HD 5319 c,"1,15",HD 5319,"13,7541667","0,7894444"
K2-106 b,"0,0263",EPIC 220674823,"13,0797796","10,7946987"
K2-106 c,"0,018",EPIC 220674823,"13,0797796","10,7946987"
HAT-P-28 b,"0,626",HAT-P-28,13,"34,7283333"
HAT-P-13 b,"0,85",HAT-P-13,"129,8833333","47,3519444"
HAT-P-13 c,"14,28",HAT-P-13,"129,8833333","47,3519444"
HD 73534 b,"1,15",HD 73534,"129,8166667","12,9602778"
K2-95 b,"1,67",EPIC 211916756,"129,362741676","18,9766861385"
HD 73526 b,"2,25",HD 73526,"129,3166667","-41,3188889"
HD 73526 c,"2,25",HD 73526,"129,3166667","-41,3188889"
HD 73256 b,"1,87",HD 73256,"129,0958333","-30,0375"
HD 73267 b,"3,06",HD 73267,"129,075","-34,46"
HAT-P-43 b,"0,66",HAT-P-43,"128,925","10,2067"
HD 72892 b,"5,45",HD 72892,"128,720833351","-14,456666681"
HD 72659 b,"3,15",HD 72659,"128,5125","-1,5680556"
EPIC 211418729 b,"1,85",EPIC 211418729,"127,882962511","11,9222639117"
K2-97 b,"1,1",K2-97,"127,762854168","10,8475916947"
K2-34 b,"1,78",K2-34,"127,579166673","22,23583334"
omi UMa b,"4,1",omi UMa,"127,5667","60,7181"
EPIC 211442297 b,"0,84",EPIC 211442297,"126,553445838","12,2819361287"
EPIC 211391664 b,"0,101",EPIC 211391664,"126,488287519","11,5111444634"
DE0823-49 b,"31,5",DE0823-49,"125,762500001","-48,799722218"
KELT-17 b,"1,31",KELT-17,"125,616666676","13,735277794"
K2-105 b,"0,094",K2-105,"125,420833347","13,497500021"
HD 70642 b,2,HD 70642,"125,3666667","-39,7052778"
HD 69830 b,"0,143",HD 69830,"124,5958333","-12,6319444"
HD 69830 c,"0,165",HD 69830,"124,5958333","-12,6319444"
HD 69830 d,"0,253",HD 69830,"124,5958333","-12,6319444"
HD 68988 b,"1,86",HD 68988,"124,5916667","61,4605556"
beta Cnc b,"7,8",beta Cnc,"124,129166677","9,185555561"
HAT-P-30-WASP-51 b,"0,711",HAT-P-30-WASP-51,"123,95","5,8366667"
K2-108 b,"0,187",K2-108,"123,383333344","16,419722233"
HAT-P-35 b,"1,054",HAT-P-35,"123,25","4,7869444"
HD 67087 b,"3,06",HD 67087,"121,91666668","31,551388901"
HD 67087 c,"4,85",HD 67087,"121,91666668","31,551388901"
WD 0806-661 B b,8,WD 0806-661B,"121,725","-66,3047222"
HD 68402 b,"3,07",HD 68402,"121,350000008","-74,410555572"
HD 66428 b,"2,82",HD 66428,"120,8666667","-1,1625"
HD 66141 b,6,HD 66141,"120,5667","2,3344"
HD 4747 b,"60,2",HD 4747,"12,3615223839","-23,2124822084"
HD 4732 b,"2,37",HD 4732,"12,3081192546","-24,1366728942"
HD 4732 c,"2,37",HD 4732,"12,3081192546","-24,1366728942"
GJ 3470 b,"0,0437533292587",GJ 3470,"119,775","15,3916667"
HD 65216 b,"1,26",HD 65216,"118,4208333","-63,6472222"
HD 65216 c,"0,17",HD 65216,"118,4208333","-63,6472222"
HAT-P-50 b,"1,36",HAT-P-50,"118,062500005","28,139444452"
KELT-15 b,"0,92",KELT-15,"117,41666668","-52,120555561"
XO-2S b,"0,259",XO-2S,"117,404166699","50,217500005"
XO-2S c,"1,37",XO-2S,"117,404166699","50,217500005"
XO-2N b,"0,62",XO-2N,"117,0291667","50,2258333"
HD 63765 b,"0,64",HD 63765,"116,9583333","-54,2641667"
XO-5 b,"1,077",XO-5,"116,7166667","39,0947222"
2M 0746+20 b,30,2M 0746+20,"116,6791667","20,0088889"
HD 62509 b,"2,9",HD 62509,"116,325","28,0261111"
HD 63454 b,"0,39",HD 63454,"114,8375","-78,2788889"
NGC 2423 3 b,"10,6",NGC 2423 3,"114,2875","-13,9066667"
HAT-P-39 b,"0,599",HAT-P-39,"113,7583","17,83"
HD 60532 b,"9,21",HD 60532,"113,5125","-22,2961111"
HD 60532 c,"21,8",HD 60532,"113,5125","-22,2961111"
HAT-P-33 b,"0,763",HAT-P-33,"113,1833333","33,835"
HD 59686 A b,"6,92",HD 59686 A,"112,95","17,0858333"
HAT-P-20 b,"7,246",HAT-P-20,"111,9166667","24,3363889"
GJ 273 b,"0,00909",GJ 273,"111,852041675","5,2257777894"
GJ 273 c,"0,00371",GJ 273,"111,852041675","5,2257777894"
KELT-19 A b,"4,07",KELT-19 A,"111,512500001","7,615833358"
BD+20 1790 b,"6,37",BD+20 1790,"110,9333333","20,4141667"
XO-4 b,"1,616",XO-4,"110,3875","58,2680556"
HAT-P-9 b,"0,67",HAT-P-9,"110,1666667","37,1405556"
WISE J0720-0846,62,WISE J0720-0846,"110,012500001","-8,78083336"
HD 4313 b,"2,3",HD 4313,"11,4166667","7,845"
LHS 1140 b,"0,0209",LHS 1140,"11,245833353","-15,271388898"
HD 4203 b,"1,82",HD 4203,"11,1708333","20,4488889"
HD 4203 c,"2,17",HD 4203,"11,1708333","20,4488889"
HD 4308 b,"0,0405",HD 4308,"11,1625","-65,6494444"
HD 4208 b,"0,804",HD 4208,"11,1083333","-26,5155556"
HAT-P-24 b,"0,685",HAT-P-24,"108,825","14,2622222"
L2 Pup b,12,L2 Pup,"108,384658761","-44,63973974"
WASP-122 b,"1,401",WASP-122,"108,300000004","-42,409722238"
tau Gem b,"20,6",tau Gem,"107,7833333","30,2452778"
WASP-121 b,"1,184",WASP-121,"107,600000008","-39,097500013"
DW Lyn b,"5,58",DW Lyn,"106,790862503","60,6472583571"
HD 52265 b,"1,05",HD 52265,"105,075","-5,3669444"
HD 52265 c,"0,35",HD 52265,"105,075","-5,3669444"
HD 51608 b,"0,0413",HD 51608,"103,7125","-55,2594444"
HD 51608 c,"0,0565",HD 51608,"103,7125","-55,2594444"
HD 50554 b,"5,16",HD 50554,"103,675","24,2455556"
CoRoT-14 b,"7,6",CoRoT-14,"103,425","-5,5361111"
HD 50499 b,"1,71",HD 50499,"103,0083333","-33,9155556"
HD 49674 b,"0,1",HD 49674,"102,875","40,8675"
CoRoT-13 b,"1,308",CoRoT-13,"102,7208333","-5,0863889"
HR 2562 b,30,HR 2562,"102,504226375","-60,2491437951"
CoRoT-4 b,"0,72",CoRoT-4,"102,1958333","-0,6727778"
CoRoT-1 b,"1,03",CoRoT-1,"102,0791667","-3,1022222"
HATS-45 b,"0,7",HATS-45,"101,994291686","-21,910694471"
CoRoT-24 b,"0,018",CoRoT-24,"101,925000014","-3,719444461"
CoRoT-24 c,"0,088",CoRoT-24,"101,925000014","-3,719444461"
HAT-P-56 b,"2,2",HAT-P-56,"101,350000008","27,252222229"
CoRoT-5 b,"0,467",CoRoT-5,"101,2791667","0,8152778"
WASP-23 b,"0,884",WASP-23,"101,1291667","-42,7619444"
WASP-64 b,"1,2",WASP-64,"101,115041676","-32,8584028015"
CoRoT-21 b,"2,26",CoRoT-21,"101,05245","-0,29913"
CoRoT-7 b,"0,0149",CoRoT-7,"100,9541667","-1,0627778"
CoRoT-7 c,"0,04266",CoRoT-7,"100,9541667","-1,0627778"
CoRoT-12 b,"0,917",CoRoT-12,"100,7666667","-1,2963889"
CoRoT-32 b,"0,15",CoRoT-32,"100,195833349","9,257500011"
HD 48265 b,"1,16",HD 48265,"100,0083333","-48,5419444"
HD 4113 b,"1,56",HD 4113,"10,8041667","-37,9825"
HD 142 b,"1,25",HD 142,"1,5791667","-49,075"
HD 142 c,"5,3",HD 142,"1,5791667","-49,075"
WASP-96 b,"0,48",WASP-96,"1,0458","-47,3606"
HATS-34 b,"0,941",HATS-34,"0,775000002","-62,469444456"
KELT-1 b,"27,38",KELT-1,"0,358333342","39,383611119"
WASP-136 b,"1,51",WASP-136,"0,32570833939","-8,9262778038"
